"","A","C","G","T","M","R","W","S","Y","K","V","H","D","B","N","-","+","."
"54",0.00467095448876281,-0.0127045071042527,-0.0118852559242865,0.00231102198527793,-0.00251889168765743,0,0,0.0156391381966692,0.00700643173314421,0,0,0,0,0,0,-0.00251889168765743,0,0
"55",0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"56",0,-0.00107603140055268,0,0.00485436893203883,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"57",-0.00934190897752563,0,0.00107603140055269,0.00718984617642024,0,0.00485436893203883,-0.00125944584382872,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"58",-0.00233547724438143,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"59",0.0263872245726443,0,-0.0065784646988335,0,0,-0.0172898681861534,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"60",0.0302511555109927,0,-0.0109926389670099,0,0,-0.0154801790124966,-0.00125944584382872,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"61",-0.00666405810569563,0,-0.0003423736274486,0,0,0.00952532342080164,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"62",0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"63",-0.000183414443276027,-0.00451199530459025,-0.00396175197476217,0.0084982025384559,0,0,-0.000183414443276027,0,0.000525788070724606,0.0023354772443814,0,0,0,0,0,-0.00251889168765743,0,0
"64",-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"65",-0.000892616957276604,0,0.00359492308821012,0,0,-0.00503778337531486,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"66",0.0108336797828373,0,-0.00165072998948423,-0.00125944584382872,-0.00125944584382872,-0.00899953535007703,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"67",0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"68",-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"69",-0.0298109608471301,0,0.00627277396004011,0,0,0.0212027096427087,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"70",0,0,0,-0.00593040033259151,0,0,0,0,0,0.00359492308821012,0,0,0,0,0,0.0023354772443814,0,0
"71",0,0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"72",0,0,0.000183414443276075,0,0,0,0,-0.00125944584382872,0,-0.00125944584382872,0,0,0,0,0,0.0023354772443814,0,0
"73",0,-0.00107603140055268,0,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0.0023354772443814,0,0
"74",0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"75",0.00558802670514291,0.00844929202024895,-0.00125944584382872,-0.00503778337531486,-0.00377833753148615,-0.00629722921914358,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"76",0,-0.000733657773104107,0,0.00361937834731363,0,0,0,0,-0.00522119781859089,0,0,0,0,0,0,0.0023354772443814,0,0
"77",0,0,0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"78",-0.00272676139003693,0,0.00939081949573262,0,0,-0.00774008950624832,0,0,0,0,0,0,0,0,-0.00125944584382872,0.0023354772443814,0,0
"79",-0.0129368320657357,0.00485436893203883,0,0.0057469858893155,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"80",0,-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"81",0.0102589811939058,0,-0.00377833753148615,-0.00503778337531486,-0.00125944584382872,-0.00125944584382872,-0.00251889168765743,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"82",-0.00396175197476217,0,-0.00322809420165804,-0.00125944584382872,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"83",0.00522119781859087,-0.00377833753148615,-0.00125944584382872,0,0,-0.00377833753148615,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"84",-0.0102100706756988,0,0.0130957912499083,0,0,-0.0064806436624196,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"85",0,0,-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"86",0.000183414443276075,0,0,-0.00125944584382872,-0.00125944584382872,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"87",-0.0434569954268665,0,0.0272920691594727,0,0,0.0125700031791837,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"88",-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"89",-0.00718984617642027,0,0,0,0.00485436893203883,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"90",-0.0414883470690371,0,-0.00776454476535179,0,0,0.0456579687461789,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"91",-0.0140128634662884,0.0023354772443814,-0.00251889168765743,0.0023354772443814,0,0.00485436893203883,0.00341150864493409,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"92",0,0,0,-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"93",-0.00952532342080159,0.00359492308821012,0,-0.00251889168765743,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"94",-0.00448754004548679,0,0.00341150864493409,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"95",-0.00107603140055268,0,0,-0.00125944584382872,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"96",0.00902399060918058,0,-0.00577144114841897,-0.00377833753148615,0,-0.00666405810569563,0.00359492308821012,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"97",0,0,-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"98",0,0.00396175197476223,-0.00251889168765743,-0.00251889168765743,0,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0.00359492308821012,0,0
"99",-0.000525788070724564,-0.00251889168765743,-0.00125944584382872,-0.00377833753148615,-0.00503778337531486,0.00593040033259152,0,0,-0.00125944584382872,0,0.00485436893203883,0,0,0,0,0.00359492308821012,0,0
"100",-0.00251889168765743,0.011860800665183,0,-0.0176077865544986,-0.00125944584382872,0,0,0,0.00593040033259152,0,0,0,0,0,0,0.00359492308821012,0,0
"101",0,0,0,-0.00359492308821008,0,0,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"102",0.00829033283607639,0,-0.0117018414810105,0,0,-0.000183414443276027,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"103",-0.0634369421144017,-0.00755667506297229,0.0374043187987576,0.011493971778631,-0.00125944584382872,0.0186838179550512,0,0,-0.00125944584382872,0.0023354772443814,0,0,0,0,0,0.00359492308821012,0,0
"104",-0.0100755667506297,-0.032219803868822,0.00341150864493409,0.0370986280599643,0,0,0,0,-0.00288572057420949,0.0023354772443814,0,0,0,-0.00125944584382872,0,0.00359492308821012,0,0
"105",0.0135359859137708,0,-0.0446308478638331,0.00970873786407767,0,0.0177912009977746,0,0,0,0,0,0,0,0,0,0.00359492308821012,0,0
"106",0,0,-0.00233547724438143,0,0,-0.00125944584382872,0,-0.00125944584382872,0,0,0,0,0,0,0,0.00485436893203883,0,0
"107",-0.00844929202024891,-0.00125944584382872,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0.00485436893203883,0,0
"108",-0.0283681005600254,0.00467095448876281,0.0195764349123279,0,-0.00125944584382872,0.00178523391455332,-0.00125944584382872,0,0,0,0,0,0,0,0,0.00485436893203883,0,0
"109",-0.00844929202024891,0.00485436893203883,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0.00485436893203883,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",-0.0064806436624196,-0.0183903548458096,0,0.0279401335257148,0,0,0.00485436893203883,-0.00125944584382872,-0.00666405810569563,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",-0.00125944584382872,-0.0142207331686679,0,0.0174732826294295,0,0,0,0,-0.00199310361693282,0,0,0,0,0,0,0,0,0
"115",-0.00402289012252088,-0.00125944584382872,-0.0367562544325157,-0.0100755667506297,0.00485436893203883,0.0451077254163508,0.00107603140055269,0,0,-0.00377833753148615,0,0,0.00485436893203883,0,0,0,0,0
"116",-0.0140373187253919,0.00595485559169495,0,-0.00125944584382872,0.0120442151084591,-0.00125944584382872,0,0.0023354772443814,-0.00377833753148615,0,0,0,0,0,0,0,0,0
"117",0.000733657773104079,-0.00251889168765743,-0.00125944584382872,-0.0125944584382872,-0.00125944584382872,0.00844929202024895,0.00359492308821012,0,0.00485436893203883,0,0,0,0,0,0,0,0,0
"118",0,0,0.00414516641803819,0.00341150864493409,0,0,0,-0.00251889168765743,0,-0.00503778337531486,0,0,0,0,0,0,0,0
"119",0.00162627473038079,-0.00125944584382872,0,0.00341150864493409,0,0,-0.00251889168765743,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0
"120",-0.00283681005600256,0,-0.00361937834731359,0.000892616957276661,0.00485436893203883,0.00448754004548678,-0.00377833753148615,0,0,0,0,0,0,0,0,0,0,0
"121",0.0318040644640629,-0.0107236311168717,0,-0.0913281651219095,0.011493971778631,0,0.0334303391944438,0,0.022987943557262,0,0,0.0023354772443814,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",-0.00881612090680101,0,0.00666405810569559,0,0,0.00215206280110538,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0.00125944584382875,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0
"125",0.0025188916876574,0,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",-0.0060649042576606,0,0.00427967034310728,0,0,0.00178523391455332,0,0,0,0,0,0,0,0,0,0,0,0
"127",-0.0211293438653983,0.00805800787459343,-0.0189161429165342,0,0.00952532342080164,0.0140128634662884,0,0.00970873786407767,0,-0.00125944584382872,0,0,0,0,0,0,0,0
"128",0.0125944584382871,-0.00251889168765743,-0.00125944584382872,-0.00125944584382872,-0.00251889168765743,-0.00377833753148615,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0
"129",0.0136460345797364,-0.000183414443276027,-0.0342985008926169,-0.00270230613093346,-0.00125944584382872,0.0165317551539459,0,0.00107603140055269,0.00485436893203883,0.0023354772443814,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",-0.0116773862219071,-0.00396175197476217,0,0,0.0181580298843266,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0
"132",-0.00782568291311048,-0.023403682962021,0.00915849453424959,-0.00703088699224768,0.0152723093101171,0.00952532342080164,0.011860800665183,0,-0.00629722921914358,-0.00125944584382872,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0.0025188916876574,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0
"135",-0.0596708322124673,-0.00125944584382872,0.034897654740652,-0.00251889168765743,0,0.0285515150033015,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",-0.0236971460712626,0,0.0096842826049742,0,-0.00125944584382872,0.0152723093101171,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0.00359492308821012,-0.00810691839280037,0,0.00469540974786631,0,0,0,0,-0.000183414443276027,0,0,0,0,0,0,0,0,0
"142",-0.00199310361693282,0,-0.00251889168765743,0.00577144114841899,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0
"143",-0.00251889168765743,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",-0.00070920251400064,-0.00503778337531486,-0.00377833753148615,0.00485436893203883,-0.00251889168765743,0.00718984617642024,0,0,0,0,0,0,0,0,0,0,0,0
"145",0.00503778337531491,-0.00125944584382872,-0.00251889168765743,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",0.0196498006896383,0,0.000684747254897165,0,0,-0.0203345479445355,0,0,0,0,0,0,0,0,0,0,0,0
"147",0.0145875620552199,0,-0.00703088699224768,0,0,-0.00755667506297229,0,0,0,0,0,0,0,0,0,0,0,0
"148",-0.00322809420165804,0,-0.00396175197476217,0,0,0.00718984617642024,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",-0.00396175197476217,-0.00377833753148615,0,0.00432858086131427,0,0,0.00718984617642024,0,-0.00377833753148615,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",0.0174243721112225,0.00359492308821012,-0.0183169890684992,0,0,-0.00270230613093346,0,0,0,0,0,0,0,0,0,0,0,0
"154",0,0.00125944584382875,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",0.00485436893203883,-0.00359492308821008,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",0.00107603140055269,0.00718984617642024,-0.00125944584382872,-0.00448754004548679,0,0,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0
"157",0,0,-0.00485436893203883,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",0.00165072998948423,-0.00251889168765743,-0.00343596390403756,0.0023354772443814,0.00359492308821012,-0.00162627473038077,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",0,-0.0214350346041916,0,0.00275121664914046,0,0,0,0,0.0199432637988799,0,0,0,0,0,-0.00125944584382872,0,0,0
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",0.00558802670514291,-0.000183414443276027,-0.00377833753148615,0.00844929202024895,-0.00251889168765743,-0.00629722921914358,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0
"166",0,-0.00125944584382872,0,0.0025188916876574,0,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0
"167",0.00125944584382875,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",0,-0.00677410677166124,0,-0.0194663862463623,0,0,0,0,0.0262404930180235,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0.0106013548213543,0,-0.002861265315106,0,0,0,0,-0.00774008950624832,0,0,0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",-0.0125944584382872,0.000892616957276661,-0.00125944584382872,0.0131447017681152,0,0,0,0,-0.000183414443276027,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",0.0115184270377344,-0.00251889168765743,-0.00503778337531486,0.00359492308821012,-0.00125944584382872,-0.00251889168765743,-0.00125944584382872,0,-0.00125944584382872,0,0,0,0,0,-0.00125944584382872,0,0,0
"178",0.00134503925069085,0,-0.0121053532562178,0,0,0.0107603140055269,0,0,0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0.0146120173143235,-0.00755667506297229,-0.00739771587879973,0.00107603140055269,0.00107603140055269,-0.000550243329828079,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,-0.00755667506297229,0,0.0102589811939058,0,0,0,0,-0.00144286028710474,-0.00125944584382872,0,0,0,0,0,0,0,0
"184",-0.00125944584382872,0,0.00125944584382875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",0,0.00343596390403755,0,-0.00432858086131423,0,0,0,0,0.000892616957276661,0,0,0,0,0,0,0,0,0
"186",-0.00469540974786628,0.0046098163410041,-0.00125944584382872,-0.0304590252133721,0.00593040033259152,0,0,0,0.0258736641314715,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",-0.00808246313369687,-0.000183414443276027,0,0.00970873786407767,-0.00377833753148615,0,0.0023354772443814,0,0,0,0,0,0,0,0,0,0,0
"190",-0.00430412560221072,0.00826587757697293,0,0.00359492308821012,-0.00251889168765743,0,-0.00503778337531486,0,0,0,0,0,0,0,0,0,0,0
"191",0.00217651806020891,0,-0.000550243329828079,0,0,-0.00162627473038077,0,0,0,0,0,0,0,0,0,0,0,0
"192",0.000892616957276661,0.0226455699298134,-0.0192096060257758,-0.00251889168765743,0,-0.00270230613093346,0,-0.000183414443276027,-0.00125944584382872,0.0023354772443814,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",0.00540461226186695,0,-0.0064806436624196,0,0,0.00107603140055269,0,0,0,0,0,0,0,0,0,0,0,0
"195",0.0112249639284928,0,-0.0153456750874276,0,0,0.00412071115893473,0,0,0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",-0.00359492308821008,0,0,0,0,0.00359492308821012,0,0,0,0,0,0,0,0,0,0,0,0
"198",0.0099532904551124,0,-0.0286126531510602,0,-0.00125944584382872,0.0199188085397765,0,0,0,0,0,0,0,0,0,0,0,0
"199",-0.0892494680981145,0,0.0748942310043775,0,-0.00125944584382872,0.0168741287813944,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0
"200",-0.0122031742926316,0,0.0016018194712773,0.00485436893203883,-0.00251889168765743,0.00826587757697293,0,0,0,0,0,0,0,0,0,0,0,0
"201",0.00467095448876281,-0.0180846641070161,-0.00125944584382872,-0.0343963219290308,0.00718984617642024,0,0,0,0.0418796312146927,0,0,0,0,0,0,0,0,0
"202",-0.0209948399403291,0,-0.00865716172262845,0.00359492308821012,0,0.0260570785747475,0,0,0,0,0,0,0,0,0,0,0,0
"203",-0.00251889168765743,0.00359492308821012,-0.00341150864493411,0.00485436893203883,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0
"204",0,-0.0219608226749162,0.00485436893203883,0.0271820204935072,0,0,0,0,-0.00881612090680101,0,0,0,0,0,0,-0.00125944584382872,0,0
"205",0.0131936122863222,0,-0.0367317991734123,0.0106013548213543,0.00485436893203883,0.011860800665183,-0.00251889168765743,0,0,0,0,0,0,0,0,-0.00125944584382872,0,0
"206",-0.0360470519185151,0.0238438776258834,-0.000550243329828079,0,0.0152723093101171,0,0,-0.00125944584382872,0,0,0,0,0,0,0,-0.00125944584382872,0,0
"207",-0.00629722921914358,0.00663960284659216,-0.00125944584382872,-0.0122031742926316,-0.00125944584382872,0,-0.00125944584382872,0,0.0107847692646304,0.00485436893203883,0,0,0,0,0,0,0,0
